datetime,avg cpu reading,max cpu reading,avg cpu VMTable,max cpu VMTable,p95_max_cpu,core count,memory (gb)
2016-11-21 20:55:00,1326402.7248029965,2392657.5546749635,768288.8818810619,4899340.080704013,2601385.893111009,135831,345915.75
2016-11-21 21:00:00,1308977.6083689989,2332930.734615998,765641.4258964023,4890671.576350017,2592394.902530014,135268,346577.5
2016-11-21 21:05:00,1306993.157975002,2321807.767145006,762667.7580231259,4877928.395572016,2580152.0702760224,134825,345882.25
2016-11-21 21:10:00,1297492.30995399,2330493.093926989,764077.2363476877,4885204.6471930165,2587922.4751790194,135201,346534.25
2016-11-21 21:15:00,1301153.4759639995,2326727.466717985,762494.0467695384,4883964.977966016,2587397.342925019,135850,346795.0
2016-11-21 21:20:00,1301502.0242769846,2308652.478030004,759431.8906968893,4874569.271621019,2579020.8384860195,135647,346264.75
2016-11-21 21:25:00,1327294.2560639917,2402047.2558210003,756572.230746396,4862157.407302021,2569122.767427016,135134,345355.0
2016-11-21 21:30:00,1317995.7041029765,2410410.418050987,755285.6751006995,4858058.650398025,2563882.5632390147,135053,344795.25
2016-11-21 21:35:00,1315883.883326006,2389402.6227709856,754701.5279743248,4859762.16754802,2563582.8464350137,135012,343922.5
2016-11-21 21:40:00,1308954.4905999915,2382863.307403006,752121.0391770805,4854332.5667440165,2559299.7554450133,135157,344139.25
2016-11-21 21:45:00,1301370.882530999,2351255.612402012,748110.4884838364,4841671.160615017,2548185.9405170134,134843,343589.75
2016-11-21 21:50:00,1315011.8676939867,2354298.812070976,745441.8126944927,4834730.589083014,2542274.386508016,134723,343382.75
2016-11-21 21:55:00,1318955.8077910044,2381492.5592730045,742408.2222881594,4825653.6401170185,2534396.662870017,134144,342332.5
2016-11-21 22:00:00,1301917.9864110018,2364539.692317999,736637.1901329058,4808388.184868022,2519136.252406013,133668,341672.5
2016-11-21 22:05:00,1300808.796717983,2356030.2832099963,732686.616265484,4796024.677919022,2507756.684214014,133417,341358.25
2016-11-21 22:10:00,1291859.8244379887,2350140.16870196,728878.0654490044,4781283.86470203,2495371.805788018,132740,340097.5
